Control1	Control2	Treated1	Treated2
42567040.85	41704671.06	39370991.42	35815640.75
0	0	0	3849854.895
6571562.208	6128628.157	2123444.865	1898961.356
3570704.708	9321652.27	2888378.023	7121200.55
0	0	0	0
14091830.37	14812297.87	7039255.081	5373453.49
56962114.13	59841159.37	28535661.85	7108217.504
0	0	0	0
0	620084.3329	0	0
708122.8563	11556065.01	7519897.999	0
138049579	116608670.7	27208871.03	29363448.91
11382132.83	9514062.308	0	7566060.791
0	0	0	0
0	9882507.062	0	0
0	8948294.92	6329495.402	8063998.778
24909572.81	16065828.8	2543505.139	9904918.283
12126598.07	11508576.58	4242330.577	7129983.198
0	0	0	0
0	0	0	0
27743217.96	72818602.37	8449501.584	25437986.86
69853445.59	58593359.81	31623522.14	37081869.56
18026192.7	38602366.23	12137392.78	25353215.21
2066962894	2211569165	1101499111	1169886971
0	5944160.151	1455722.123	5567053.612
216222326.2	269947189.6	137605285.5	147430120.7
0	0	0	0
0	0	0	5465480.373
81875584.66	90694723.05	56861911.75	44951886.36
0	0	0	0
0	0	0	0
0	0	0	0
3221078.89	4453187.047	1743335.136	2331602.261
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
11476457.75	0	0	0
4530168.382	6070495.763	2450003.864	0
8399594.637	0	5346572.908	6467847.869
16711100.72	27179760.1	7014141.102	11905834.73
5556672.903	6571007.492	1422494.398	2818008.248
0	0	0	0
0	0	0	0
25572185843	29582019896	9460242640	9680387964
170790458.4	446604167.5	69086623.91	159508171.7
24133146.24	28730503.13	35702032.3	18928516.88
0	0	0	0
0	0	0	0
0	5401809.473	1855343.482	2009355.43
0	1435378.884	0	0
25057686.31	36371228.56	0	5093936.154
21302619.27	45098456.63	17394714.47	11788987.32
6934674.15	0	0	0
294114437.2	330658697.3	117807742.8	106720635.4
27882756.47	51795144.72	13003245.5	20152741.71
6028375.429	6285503.746	0	0
0	0	6763001.314	0
0	0	0	0
0	29282351.5	11245266.98	1189896.136
77954474.59	92979080.53	39224171.24	48503131.21
183543810.4	182552094	80279731.09	90713303.8
25470845.03	28945019.86	6093037.632	6562547.732
1745868.413	1380439.677	0	0
150670408.5	186326605.8	57364191.33	60867572.93
81579357.66	121169198	36695773.12	41824499.77
0	0	0	0
0	0	0	0
5074524.478	6813935.399	0	0
7061272.217	6154910.55	6250676.146	4496716.053
4787652.011	4967044.664	3582451.124	5557125.401
0	2487657.101	0	0
0	0	0	0
25572965.39	2260285.749	11629317.67	13053306.86
0	0	0	0
8401933.271	9838293.691	0	0
0	0	0	0
0	0	0	0
17430620.52	0	0	0
3376987.839	3385843.534	1220462.097	1624904.536
0	0	0	0
0	4276251.689	0	0
0	3069226.675	0	3747670.689
0	0	0	0
4975444.341	9148073.853	0	0
0	0	0	0
79638291.24	93183772.06	40321458.93	0
0	9272526.303	0	7282724.912
87184284.38	82679002.74	55756896.68	52776080.65
19644527.6	11169607.4	0	4254238.583
4716713.439	5814221.967	0	0
10247115.68	26640193.23	3516652.5	10502520.24
5764733.396	14302206.57	8916235.221	8904460.058
4287184.284	6389732.673	0	0
7315325.85	0	0	0
0	0	3058921.258	6581258.592
0	0	0	0
0	1643099.849	0	0
14176800.75	15138985.55	7031527.703	9892698.946
0	0	0	0
15820081.07	0	7967313.191	0
0	0	0	0
0	0	0	0
5542485.189	7295779.261	0	4280968.382
16849859.68	15701477.87	9496174.948	8009393.615
0	3833135.465	883548.412	1806399.878
0	0	0	0
0	0	0	0
0	0	0	0
16656532.58	21268268.72	16001081.83	18468764.32
285531649.5	355934007.5	154663472.7	187925767.5
0	0	0	0
8882912.379	11435706.39	3769801.406	5427676.799
0	0	0	0
36325226.07	38169238.96	20071864.62	18377501.15
0	0	0	0
1881821.017	0	0	0
0	0	0	0
0	0	0	0
0	12979080.53	0	0
0	0	0	0
0	0	0	0
14393514.19	13011012.4	5776215.13	8118603.941
60999376.36	79752732.63	27291940.34	26644646.4
0	14089327.38	1884089.328	3746066.901
66291705.64	74621525.36	27752492.08	35581564.08
0	0	0	0
6925163.704	9727760.265	2469979.136	2859783.107
0	0	0	0
4306283.131	5044090.556	1838497.798	1399305.025
0	0	0	0
70730433.43	78050517.87	37862607.22	44757140.68
8602276.271	8646170.221	6422223.939	6162364.442
0	0	0	0
0	0	0	0
0	4920129.365	0	0
3999922.046	7080116.265	0	4237436.994
4186311.194	4573545.667	0	0
0	0	0	0
24960243.22	65804233.02	7877675.605	6966167.71
0	0	0	0
0	0	0	298968.9934
1504911.132	1967413.108	0	0
6760757.717	5068981.046	5991422.61	4217198.717
5549267.228	1770745.487	0	1768978.158
251629248.5	417316903.4	105297117.7	96364747.21
72308231.99	85094362.8	34627540.38	40705666.72
22439195.51	24294428.3	16775365.12	25416221.17
39690520.74	24904409.06	20430028.59	24563922.41
0	16756048.63	4236148.675	7152130.747
8944496.414	14111434.07	6645158.798	5767145.257
8184440.287	22286813.77	0	3582251.413
8304490.178	0	0	3522567.588
1696679.139	2538911.86	1443551.503	577325.4926
0	0	0	0
2093545.37	0	0	1081487.704
7729420.019	10247676.75	2468704.119	0
8537574.057	0	3385016.614	3614747.212
0	0	0	0
0	12584435.26	2243141.952	5795784.329
0	2739837.066	0	0
0	0	0	1769321.827
3846429.685	3464854.464	0	1355048.114
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	6303762.23	0	2468458.836
0	8530724.199	6392087.165	5778600.886
0	0	0	0
0	0	0	0
22858590.58	22942645.43	20227184.92	14492897.51
0	0	0	0
0	2147787.285	993277.1811	711432.7173
59244621.14	78851271.13	32972722.36	30924469.22
90208917.99	99873091.25	92937176.42	83694822.06
0	0	0	0
39804334.27	51986735.99	33400432.73	30913777.3
0	0	0	0
16011849.08	0	8502047.755	8495875.974
0	0	2483965.69	0
2846507640	2847996070	2003940963	1663319077
4586607.421	6805092.725	3064755.428	5718267.909
0	0	0	0
21176333.02	17185082.08	8847847.925	8394302.734
173347365.1	154050845.4	77992427.17	61570184.82
41663548.49	29510787.24	10746851.09	16137925.77
212963829.1	298563065.5	105188934.4	119428746
0	0	0	0
139031805.4	123027797.1	64767019.55	58943027.34
10802931.09	9868588.038	3653543.003	3588972.048
18879014.66	19390019.24	6352677.537	7491981.06
0	0	0	0
0	0	0	0
0	0	0	0
0	7785155.77	3547716.56	3403467.237
12268475.21	9009702.379	0	7182679.09
24726379.79	19128832.85	0	10211547.27
198058933.6	253326237.4	187091414.9	199163739.1
120556594.9	142645433.3	58306931.46	68978157.93
0	0	0	0
39110539.44	42195111.97	22451897.07	0
25736669.78	21146272.57	17994359.01	13299221.02
0	0	0	0
116432803.2	115814467.6	67278417.43	60111501.45
7780246.336	15533630.82	5517347.964	4563158.699
15005456.81	16443279.98	0	0
10842687.87	5212674.5	1779228.808	1951046.281
0	0	0	0
7347287.184	5619846.891	0	0
