Control1	Control2	Treated1	Treated2
17457904.58	17676341.75	13241248.74	16737055.14
6002728.407	0	0	0
2841596.508	0	0	0
0	0	0	0
0	0	0	0
7134627.378	10643140.79	0	0
41301839.73	39535759.61	31803183.68	6116923.782
1709151.855	6862733.86	0	5544524.21
0	5345642.117	16630090.41	27431648.08
11916900.53	17054898.27	7867630.013	12306018.02
0	0	0	0
6429918.927	6850779.875	4151533.885	0
2892422.825	2623572.277	2149408.856	0
0	5368158.186	2918012.518	2810523.904
0	7982642.158	0	3062242.248
6530246.336	0	0	0
0	0	0	0
11016526.35	7516272.977	0	0
0	9561550.743	5999922.726	4344738.048
0	0	0	3475370.399
67447770.5	79315511.52	30468279.11	31779822.82
5396554.412	9231587.997	0	0
10304802	15869324.93	0	6671376.203
50442001.87	64681704.67	46758364.89	48919352.38
102720611.2	69180005.73	65844988.8	42511837.48
7877299.657	8734596.962	0	9235145.868
13302931.09	14626437.96	5447028.823	5028639.071
25856719.68	31334179.39	10064909.98	9523063.999
30911287.81	28357964.55	11575226.03	0
2102821.952	0	2146974.731	0
0	0	0	0
7127923.293	9858762.844	5573371.455	5601038.644
0	6850452.368	0	0
0	0	0	0
31723573.43	59164858.56	10449347.04	28023904.08
117212348	161477054.1	34076191.95	7944478.387
67107109.45	55456666.8	29853566.18	24343974.34
242438416	370819175.5	78881075.65	100198564.2
73473651.39	110033978.8	47492465.81	53490148.16
17263018.4	23237401.24	6425701.26	6153963.647
0	0	0	0
64759120.67	60992344.54	20651031.6	26934091.95
2029388.837	0	0	0
12703461.18	10314815.57	5608917.394	4215671.3
68120517.62	55293732.35	0	14195433.02
0	0	0	0
15838010.6	22041183.94	9848543.389	13765083.24
16711880.26	20226798.22	18299204.08	37613028.87
0	2269210.3	1046943.822	0
20297786.09	23334834.4	32426396.72	35384527.26
3457202.993	4724526.139	3012325.168	4436001.222
53203149.36	61348507.8	11458156.25	39594470.75
0	0	0	0
0	0	0	0
24939975.05	13291030.42	11517657.06	14211470.9
0	5631391.493	0	0
0	0	0	0
0	0	0	0
2661209.853	0	0	0
0	0	0	0
3534455.878	5184918.328	0	0
0	0	0	0
0	0	0	0
0	0	0	0
10483317.74	12604904.41	4235762.306	4754085.841
0	0	0	0
58546149.05	65010029.88	44185147.98	21979150.76
51711880.26	38964260.86	39135306.39	6291431.19
0	0	7001390.928	0
0	6304990.379	0	4279822.82
13076863.11	0	7290008.5	0
0	0	0	0
7287184.284	6447537.561	5290935.785	5945089.354
22284066.11	28196667.62	9652267.985	6912708.111
0	0	0	0
30473183.66	26596798.62	11912912.45	19698335.12
11461646.4	15219224.63	8027200.371	8413777.303
10146554.41	0	6621590.294	0
0	0	0	0
0	0	0	0
13865762.39	40315224.96	0	0
27702681.63	19534940.84	4079282.899	0
0	28978589.27	0	0
90169940.75	66219347.44	44320377.1	38872766.15
13882912.38	14530642.32	6650567.962	9678478.693
7180074.836	7190977.197	0	0
0	0	2119967.545	2588361.081
0	4080320.956	0	0
0	0	0	0
52136732.15	37199819.87	18196429.95	0
0	0	0	0
237613034	231530683.3	269422764.9	126191385.4
20201122.54	23204650.59	0	0
0	0	0	0
0	0	0	0
76706423.45	87002087.85	45881307.47	51053917.82
0	2743767.143	0	0
0	0	173209.1801	0
0	0	0	0
2149906.455	0	0	0
0	0	0	0
0	0	3497565.876	2301817.626
0	0	0	281800.8248
0	0	0	0
0	13424489.29	8151997.527	9548648.236
0	11157325.91	7082528.398	5592255.995
0	0	0	571444.9366
0	0	0	0
9039600.873	10866663.94	9233444.092	0
4605472.404	4714537.192	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
8425319.613	7469439.555	2036627.772	2650412.403
0	0	0	0
20381976.93	25504564.62	0	1418168.627
0	0	0	0
9670252.572	8849224.219	0	0
0	0	6950776.601	10880937.83
0	0	0	0
0	0	0	0
0	1497359.479	0	613181.6099
132592765.8	7367175.666	56460088.09	63013594.01
19692859.37	21031645.31	15342709.22	13787994.5
0	0	0	0
0	0	0	6619444.02
0	0	0	0
0	0	0	0
19219675.71	27836410.53	13519047.99	19693752.86
0	0	0	0
12092298.1	19290948.54	7336372.769	7886054.682
0	0	0	0
0	0	0	0
0	0	0	0
15543342.69	12587710.32	0	5522376.661
0	0	900935.0128	1113601.65
12365918.3	8006795.759	5923421.683	4333282.419
38085438.1	32815327.3	0	0
0	0	0	0
2078188.338	2966144.021	845259.2535	1321215.824
3654973.495	0	0	3303383.229
0	0	0	0
0	0	0	0
0	0	0	7923094.547
8812753.352	4680804.028	13704505.06	0
44549423.14	42503786.79	62657445.33	58416068.43
4018631.119	23262782.99	5024341.241	18023522.22
5025802.931	0	6572907.812	0
0	10562901.71	7400510.007	7974263.021
6506704.085	0	2635731.396	2981747.365
0	0	0	1838246.525
0	0	0	7214372.995
0	0	0	0
0	0	0	0
3378858.746	4966062.144	0	0
20529310.88	13940311.95	14938567.34	13865510.92
930854.381	17457731.2	13049609.77	13485947.76
0	0	0	0
0	0	0	0
0	0	0	0
2944262.551	0	1591839.889	1227661.524
0	0	0	0
0	0	0	0
4619036.483	0	0	0
6698628.001	7964711.18	17107642.38	11309378.34
4553476.77	4360420.846	3080751.101	0
0	0	0	0
0	0	0	0
51408637.36	49166905.47	13123019.86	17725294.03
75538665.42	82187743.07	49064987.25	52134565.45
2289678.828	18030048.72	2112781.083	8763555.827
0	0	0	0
0	36333565.32	20812147.44	20122957.08
0	0	4031373.155	0
89250077.95	77117124.49	47592921.72	10693065.53
0	0	0	0
7836763.33	6461292.832	2649447.492	734343.9743
9023230.433	9157080.28	0	0
30084190.83	32112007.21	23115292.48	26261264.7
0	0	0	0
4346117.867	3946288.943	1804651.882	1876737.437
37331618.33	30922340.03	2521057.105	2298457.309
9954006.86	12003111.31	0	13333587.9
0	0	1751757.979	2030739.27
3996258.185	4903835.919	0	0
0	0	0	0
5599625.819	3735047.284	0	0
0	0	0	0
90279077.02	94772178.33	33070087.32	39980143.58
33557062.68	36235313.38	14828452.21	19030471.97
0	0	0	0
8355940.131	11339910.75	0	6488468.001
5999688.182	7164121.669	2421412.565	3921261.647
0	0	0	0
0	0	0	0
719254755.2	784173250.9	380716327.9	217194898.4
0	0	0	0
5408325.538	0	2352407.078	0
5009276.582	4283620.584	0	0
7549267.228	0	0	0
0	0	0	0
0	0	0	559111.0432
0	6940107.258	0	1689285.169
0	0	0	0
3902478.952	3304785.688	0	2198678.784
0	0	0	0
9864359.214	7648913.088	4416196.584	4322972.354
34610227.63	0	5021250.29	29035054.22
0	21215048.92	0	0
10495790.46	14649363.41	6990186.23	12144493.66
170268163.4	130470381.1	120365505	129631892.5
15940910.51	12462439.1	9555289.39	0
0	0	0	0
0	0	0	0
212683193	283022884.5	209543312	53161753.47
41976925.48	46982437.47	19327331.74	12928440.51
0	0	0	0
935843467.4	1223154706	993277181.1	956354055.3
121024321.8	180505178.7	68673209.18	122666870.3
0	0	0	0
13200810.73	17240758.18	9170852.33	13929662.44
191206735.3	194555205.3	141959663.1	264422636.3
17068132.21	19870634.95	11895139.48	13957919.66
3193794.824	4305563.516	2638088.247	3423972.812
63490021.83	86928398.9	32808515.57	57812738.66
0	0	0	0
3787418.148	4564621.116	2847963.836	0
5936934.83	6021861.055	2973649.641	2946769.513
0	0	0	0
9490957.281	12541040.65	4638358.705	8124331.755
2573666.978	2805256.478	0	0
178079201.7	187014369.3	71513020.63	77474415.76
20848924.23	17985835.35	23977281.51	0
0	0	0	0
108403492.4	9294632.988	0	0
0	0	0	0
10112254.44	9330658.697	0	0
162106329.9	213526016.3	77281508.38	80330685.81
0	0	0	0
130675085.7	155696565.3	38216521.13	48388574.92
28172747.12	38373111.72	15475620.12	15084389.8
0	0	0	0
161872466.5	146706513.3	16912912.45	68645944.71
14873713.75	27546567.32	3570821.42	6236062.319
0	0	0	0
117188961.6	105219634	65783169.77	62803574.16
697988774.6	787743071.2	389730314.5	394608217.5
2184908.014	4517869.571	1356348.041	1034137.773
0	0	0	0
12697224.82	17162975.4	9913839.734	6777913.548
0	0	0	0
0	0	0	0
0	0	0	0
99391955.1	100986613.2	95804033.69	122021536.6
886186467.1	798681786.5	56954640.29	607148312.2
2697614593	2077127768	1978208794	1686306705
122887433.7	102001883.2	99632949.54	86043225.9
3591050.826	3609530.438	3275249.208	2209408.89
0	0	0	0
5438883.692	0	0	0
14145618.96	15108691.2	3920485.279	0
5450810.727	0	0	0
5810882.445	0	2871339.155	3173018.176
7771125.663	8489785.893	0	5557889.11
17623947.61	12732631.92	11194652.65	9404307.316
0	0	0	0
4476145.931	0	0	0
12294200.19	9443648.422	7609921.953	10057278.14
6013953.851	3360543.661	0	0
1578266.292	1435051.378	11792751.72	8961356.346
0	2847013.551	929719.4962	3128341.225
6407078.266	3043026.16	0	0
22883536.01	4091210.546	34622903.95	23292729.49
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
4358980.355	4277397.961	2671779.615	2293340.461
3390084.191	0	2490379.414	0
185983785.5	201105334.3	122985086.2	0
28730901.15	29556638.15	0	0
10710944.81	8610963.278	4497720.423	3797159.004
31349391.96	29767061.04	15775828.76	18109439.44
0	0	0	0
5979809.791	9359315.512	2970326.868	4073239.652
0	0	0	0
8415185.532	0	7446487.907	8335497.174
0	0	0	0
2909338.946	3685675.687	1398655.436	0
4840271.282	0	2794026.737	0
410173058.9	462226225.1	155517348	190025966.1
0	0	0	0
80636108.51	86977524.87	38945985.63	61306705.36
7180854.381	10960822.04	0	0
547357343.3	616154255.5	316625454	279803726.9
0	74002538.17	20352754.81	12686344.89
0	0	0	0
0	0	0	0
1161833.489	0	835059.1144	0
0	0	0	3000687.338
2607109.448	2563311.09	906498.725	615930.9607
31534923.6	55735047.28	45100842.28	11880632.35
40187090.74	31580627.99	16543930.14	0
57803242.91	68385802.6	28032223.17	25187108.6
0	0	0	0
0	0	0	0
0	0	0	0
5580215.154	20695951.2	2022718.492	3945318.466
0	0	0	0
191347053.3	255479592.3	83888416.66	97475943.18
23682569.38	33562860.77	6588362.569	15199327.94
12875740.57	19213984.53	1914110.192	7587062.777
0	0	0	0
12820392.89	0	0	0
0	0	0	0
2795837.231	2973021.656	1844293.331	1820566.672
0	0	0	0
0	0	2304999.614	0
7448861.865	5409587.751	4298740.437	0
0	0	0	0
6112566.261	6185532.403	0	0
0	0	0	0
0	0	0	0
9167446.211	14437302.98	4387991.654	9974797.617
0	0	0	0
0	0	0	0
0	0	0	0
19217337.08	9792442.789	2981261.108	0
31979264.11	37599377.74	13823506.68	21373911.72
0	0	0	0
4564858.123	0	0	0
0	0	0	0
0	0	0	0
51642500.78	51389036.72	40665327.25	34517718.04
3764031.805	0	2736303.222	0
226473339.6	241847136.4	167313190.6	155746907
36966791.39	13887910.92	34974113.28	15989766.31
8870439.663	17266139.93	2597635.422	0
14271905.21	5998034.961	10748782.94	12823048.72
0	0	0	0
0	0	0	0
44198628	32022761.7	22983540.68	28108293.88
178796382.9	127146190.7	131349973	135332976.9
0	0	0	0
5295603.368	5181725.14	4894907.658	0
40469285.94	43978384.57	31495634.03	29253474.87
0	0	0	0
0	0	0	0
4699641.409	6157694.355	2029789.043	2957919.658
64426255.07	60429852.21	39660768.1	41671758.06
0	0	0	3291393.004
0	0	0	0
4932023.698	4862324.477	2618035.7	2558996.487
11079669.47	4365087.813	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3237215.466	3680435.584	0	0
0	20510091.29	0	0
0	0	0	0
0	0	0	0
21888836.92	26931673.97	13649640.68	16697724.15
0	0	0	0
127517929.5	170663609.9	100243412.4	113162517.2
979575927.7	864944528.6	624410787.4	645180998.9
25958840.04	0	0	0
0	0	3765899.08	6938292.348
2868334.892	4315879.969	6052082.528	0
31313532.9	27052851.35	12030368.6	9318008.248
0	0	0	0
4222248.207	12526302.86	2426126.265	6320452.115
0	0	0	0
6841050.826	7112785.033	4110965.15	4041545.746
142859370.1	140958775.1	164558380.3	151962731
18355940.13	17282515.25	9317672.514	13924698.34
15415497.35	36760961.23	14612085.62	24804490.61
120961958.2	210406517.4	118476161	153211394.5
16644839.41	24644860.2	21470133.68	21606460.97
2364437.169	3488189.299	1160613.554	3156980.296
0	0	0	0
0	3364883.121	4823429.41	0
0	4001310.026	2692450.352	7980754.544
0	0	1228034.928	887200.2444
6203383.224	9269251.238	6899775.906	9470368.108
54379482.38	63627133.91	62711536.98	59492897.51
55376520.11	153354894.2	34328104.47	61199786.16
0	0	0	0
0	0	13372227.8	12946387.66
28070626.75	20277561.71	0	0
0	0	0	0
7539834.737	9327383.633	2692720.81	3674087.368
0	0	0	0
23113501.71	22539812.5	13376864.23	12423247.29
70141877.14	67771728.01	48435205.93	44310371.16
0	0	0	0
0	0	0	0
567945.12	0	0	0
0	1836246.776	0	0
0	0	0	0
22500779.54	26675400.17	14189398.04	15961890.94
0	0	0	0
0	0	0	0
0	0	0	0
2620985.345	9067016.007	0	0
0	0	0	0
72009666.35	97826175.95	47137006.41	53520696.5
6650218.273	7821099.603	5659531.721	4082786.009
0	23014696.85	0	19405071.02
0	0	0	0
2401231.681	3438653.948	2916389.769	3461890.942
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	4641063.287	5156560.257
4796616.776	3949727.76	2172050.073	2078776.539
0	0	0	0
0	0	0	0
8560960.399	0	6769183.216	0
0	0	3325206.707	2032457.614
0	0	0	0
30866074.21	18267490.89	9236148.675	12289598.29
0	0	0	0
0	0	0	0
0	0	0	0
3070704.708	2277889.221	0	0
0	0	0	0
0	0	0	0
21349391.96	24919146.85	8563094.042	0
64860461.49	54104065.17	43060814.47	36551473.96
0	0	0	0
0	0	0	0
0	907929.7499	0	0
914795.7593	0	0	4970597.22
0	0	0	0
5798565.638	0	0	2777111.654
0	0	0	0
0	3819953.33	1960165.366	1754964.106
0	7650059.361	2512518.353	5956163.128
0	0	0	6530090.118
4356875.585	5357923.609	1997295.418	3438368.718
69401309.64	74247349.24	40823738.51	44860241.33
0	0	639749.6329	0
0	0	0	0
0	69157899.05	0	0
8628001.247	10327097.06	3329534.039	4698335.115
3611708.762	4315388.709	1305308.709	1508591.721
36500623.64	67244442.62	24673904.64	36735527.72
1322029.935	4743930.896	0	0
0	0	0	0
38872778.3	0	7752105.711	6416297.541
4739865.918	4375977.402	0	0
0	0	0	0
2020813.845	0	0	2159653.276
222029934.5	198247840.5	144258558.1	162521002
0	5635239.694	0	0
0	0	0	0
2027751.793	2895566.381	0	0
4917134.394	16977115.49	3690827.602	5705284.863
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
6912145.307	14799197.61	0	2398464.946
13304490.18	13223891.6	5319140.716	4870551.398
4833489.242	2747287.837	1652499.807	1448335.115
278352042.4	280992344.5	79182443.4	120952344.6
0	0	0	0
5351496.726	0	2247739.742	2675958.454
12657468.04	19117370.12	5948922.031	5024438.674
3141019.645	4491423.425	1967313.191	1033183.137
22031493.61	20246448.6	9552971.177	7959370.704
0	0	0	0
0	0	0	0
11276894.29	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3106173.994	0	0	0
61997973.18	70088836.12	33945985.63	41431189.86
0	0	0	0
1120361.709	1505710.894	0	1044218.726
11574680.39	11135219.22	4956726.683	0
0	0	3244262.422	2523025.813
121913002.8	122593851.1	89888725.76	91755766
23972560.02	20600974.33	11594544.47	10261570.18
0	0	0	0
0	0	0	0
0	19334343.14	9956340.314	7466778.677
0	5616080.567	2623753.96	0
0	0	0	0
0	0	0	0
0	0	0	0
129209541.6	140991525.8	46874275.56	52863907.13
7289367.01	0	3556641.681	0
322201434.4	327825766.6	126814002	145421567.1
1696913.003	3234617.432	1903060.042	0
0	0	0	0
26342376.05	16223031.89	13528320.84	7983045.67
7401075.772	7898882.384	3298276.795	2973537.498
3564702.214	3406476.44	2325206.707	1962120.055
124142500.8	162058378	72019163.9	68340461.28
15994699.1	21319032.22	6398655.436	13532533.99
2209385.719	0	0	1043455.018
13815871.53	0	2905339.618	2509240.874
14208762.08	0	5627463.102	0
8522762.707	0	335754.5785	0
90910508.26	104114299.8	52870720.96	33447380.48
11923136.89	10047079.05	2323274.863	4692607.301
0	0	0	0
12134393.51	10964097.11	0	0
6485812.286	14259630.74	0	0
0	2291808.245	0	0
13065949.49	22978671.14	0	12319001.07
25210477.08	29144798.79	11814774.75	14932029.94
0	0	0	0
5806049.267	0	4777065.142	3984649.458
20269722.48	19579972.98	9460242.64	9850694.975
0	0	0	0
1880885.563	3335980.677	0	0
1573822.887	1694845.867	0	0
0	0	0	0
17356563.77	0	5270071.865	0
5465855.94	4938797.233	0	1739689.934
0	0	0	0
27207670.72	29355221.68	30296344.95	21781350.24
0	0	0	0
0	17933434.31	10484506.61	11160073.32
183169628.9	209726941.5	127335600	123487857
0	28908175.38	2096283.131	29070184.82
0	0	0	0
154240723.4	135947926.5	123375318.8	90766763.4
0	0	0	0
2091986.28	2456707.741	1009659.223	1034557.813
20806828.81	18761206.86	12635035.93	3612761.57
235804490.2	240897367.7	108913530.6	118825416.2
0	1652679.412	0	12572934.17
93677892.11	112744094.6	97809288.31	87070413.93
0	0	4833088.633	9172903.62
29637511.69	30126499.37	14337763.7	15277989.92
166565325.8	116264789	122741673.8	166709943.5
105215154.3	100626356.1	67398191.79	71399114.1
0	0	0	0
21909884.63	18001391.9	17412873.81	8000992.821
21057062.68	20957956.36	23998531.8	25174889.26
5869816.027	14176116.59	0	0
85601808.54	4915789.905	57700332.28	41881777.91
10764733.4	10819175.5	16830229.5	6682449.977
87059557.22	98350186.27	69782087.94	79784634.18
23574992.2	12883284.89	12312031.53	10339086.6
14186934.83	47724239.57	14118692.53	27550022.91
17100873.09	46043312.73	19399582.72	20244386.74
4884549.423	0	0	3715938.598
47400218.27	50516232.04	25343481.96	27160531.54
0	9320833.504	3331813.616	5340614.022
8628001.247	0	0	7644340.92
0	0	0	0
0	1619601.261	0	0
6828656.065	9347852.786	0	0
0	0	0	0
6587620.829	8029803.087	0	0
0	0	0	0
0	0	0	0
0	0	0	0
7840661.054	9600032.751	5949308.4	0
2822965.388	3443975.928	0	1808729.189
10431088.24	11348098.42	0	9274476.86
0	0	0	0
13452603.68	13163302.9	0	7012372.079
0	0	0	0
0	4870512.138	0	3525775.164
0	0	0	0
3322497.661	2026364.269	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	8330945.265	4433196.816	0
12920954.16	10639046.96	5351982.072	4612036.047
0	16900151.47	0	9891553.383
0	0	0	0
0	0	0	0
2854381.041	4781921.644	0	0
0	0	0	0
5286326.785	13019200.07	4386832.548	0
0	0	0	2800022.911
7364826.941	0	0	0
12849236.05	0	0	0
0	3372743.276	0	0
13277206.11	11949072.75	5942353.759	6273484.038
0	0	0	0
7279154.973	6800262.005	0	3951428.135
25308699.72	0	12009504.68	14102642.43
0	0	0	0
0	0	0	0
10931555.97	6202890.244	5190093.501	0
3767695.666	3768289.188	0	0
0	0	0	0
0	0	0	0
5500000	0	0	0
0	0	0	0
5826161.522	3053833.872	1219805.27	2059912.937
2395774.867	1888074.671	1312456.533	0
0	0	0	0
1844013.096	0	1200602.735	0
92789211.1	107872436.2	51727069.01	55235222.24
35153570.31	6860932.575	20049455.22	12850160.38
0	0	0	0
13455721.86	15515617.96	3602967.313	0
0	3615179.924	0	1815908.049
0	0	0	0
96959775.49	24427068.41	55235298.66	85336795.48
9919706.891	8136652.065	4128351.75	5660989.766
635913626.4	926270110.9	320821420.3	416068428.3
14641409.42	12471445.53	0	0
0	0	0	0
26954318.68	19062512.79	6778069.701	11981441.88
0	0	0	0
0	0	2570048.682	3192454.559
805971312.8	847832316.7	244154238.5	306583167.9
6703227.315	20158021.86	0	4896135.635
132125039	7753878.904	40553280.27	0
0	3160273.468	3162584.035	1471246.372
10066261.3	12612273.3	11413337.45	6450664.426
0	0	0	0
24962581.85	26767920.74	17760992.2	15263097.6
236700966.6	279182871.4	126489452.1	163227432.4
4708216.402	6043148.974	1586778.456	2671338.017
6183348.924	0	1728962.213	1535588.819
35353133.77	31664142.14	13498570.44	19450893.54
6191300.281	6483727.023	3395641.759	0
0	0	0	0
26957436.86	31068899.17	14581562.48	17286543.46
6093389.461	8817292.34	2552082.528	1755956.927
0	0	0	0
0	40306218.53	0	0
53483005.92	53776558.73	27563557.68	29067129.98
0	9244688.255	2818483.888	3481441.882
214694418.5	232414950.7	80944285.6	88907133.04
0	0	0	0
0	0	0	0
0	0	0	0
8631898.971	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
13934362.33	17714823.76	15970945.06	13770811.06
4082397.88	4251443.075	0	2682335.421
36305737.45	37968641.26	18075110.12	27832976.94
0	0	0	0
3175475.522	0	0	2509279.059
0	0	1245576.076	781923.0182
3210710.945	3011503.664	0	2834504.353
5978874.337	0	5283981.145	0
0	1931714.906	691754.8876	0
0	0	0	0
2586451.512	2634871.249	0	0
4892968.506	5927948.581	2697395.874	2156598.442
40717960.71	29436279.53	18211884.71	17676798.53
22654349.86	29859581.61	11690750.33	15448678.78
0	0	0	0
