pre.1	pre.2	pre.3	post.1	post.2	post.3
2	7	4	6	4	5
4	4	5	5	5	5
4	4	5	6	3	6
6	0	7	7	3	5
5	4	4	6	5	4
6	5	2	4	8	3
4	6	3	6	7	2
0	0	14	6	0	8
4	6	4	4	6	4
4	6	4	4	7	3
5	5	4	6	3	5
6	3	5	7	3	4
3	9	3	2	8	3
7	5	3	3	6	4
6	3	7	3	4	5
4	7	5	3	5	4
5	5	6	5	3	4
8	5	3	5	5	2
7	8	3	3	5	2
5	4	10	5	2	2
11	5	3	4	0	5
8	9	2	4	5	0
0	8	12	0	8	0
5	12	3	5	0	3
0	0	6	3	8	10
0	4	5	4	8	6
4	2	5	3	5	8
2	5	4	3	7	6
0	5	7	5	4	6
0	8	4	6	5	4
4	6	2	6	6	3
6	6	0	4	7	4
3	4	6	2	4	8
0	7	6	3	8	3
4	5	4	4	6	4
4	6	3	3	8	3
6	5	2	3	5	6
2	6	6	2	3	8
0	10	4	3	7	3
3	4	7	5	4	4
4	2	8	6	4	3
3	9	2	4	5	4
5	4	5	5	4	4
4	6	5	3	5	4
3	9	3	4	5	3
6	4	5	4	4	4
6	3	7	3	4	4
8	0	8	5	0	6
6	5	5	4	3	4
7	5	5	0	5	5
8	10	3	0	6	0
5	0	0	8	7	6
5	0	2	5	3	11
0	4	4	0	5	13
0	5	5	4	5	7
2	3	5	4	6	6
4	4	2	3	7	6
0	7	4	4	5	6
0	8	4	0	7	7
5	3	4	4	4	6
0	5	8	8	0	5
4	3	6	5	4	4
5	4	4	5	4	4
5	4	4	5	5	3
3	3	8	5	3	4
5	3	6	3	4	5
3	5	6	4	6	2
4	6	4	5	4	3
4	6	4	7	5	0
4	6	5	6	5	0
0	5	11	2	3	5
2	7	7	4	3	3
0	12	6	2	3	3
0	8	11	0	0	7
5	0	0	20	0	0
6	0	0	8	4	7
0	3	6	4	3	9
2	0	7	6	6	4
5	0	4	5	4	7
4	5	0	4	6	6
0	4	5	8	8	0
4	5	0	5	8	3
0	0	10	4	3	8
0	5	5	4	6	5
5	3	2	4	8	3
0	8	2	15	0	0
3	3	5	6	2	6
0	8	3	7	4	3
4	3	4	5	5	4
6	3	2	3	5	6
4	4	3	6	3	5
3	6	2	7	4	3
11	0	0	6	3	5
6	0	6	0	5	8
5	3	4	0	6	7
2	3	7	5	4	4
3	4	5	5	4	4
3	4	5	5	4	4
4	3	5	6	3	4
3	6	4	3	4	5
4	5	4	2	6	4
3	5	5	4	4	4
3	6	4	4	5	3
4	4	5	5	3	4
2	6	6	2	7	2
2	7	5	2	6	3
5	3	6	6	3	2
9	3	2	5	4	2
0	8	7	4	4	2
11	5	0	2	5	2
6	6	8	2	0	3
18	3	4	0	0	0
4	2	0	2	7	9
0	2	5	5	4	8
3	2	3	5	5	6
0	2	7	4	3	8
3	4	2	5	3	7
3	4	4	5	3	5
3	4	4	6	3	4
6	2	3	6	3	4
0	7	5	2	5	5
4	3	5	2	2	8
0	10	2	0	10	2
4	3	5	2	6	4
3	5	4	3	4	5
7	2	3	3	4	5
4	4	5	0	4	7
3	7	3	2	5	4
4	0	9	7	0	4
5	4	4	5	3	3
0	6	8	2	3	5
2	9	3	3	5	2
5	3	6	4	3	3
4	5	6	2	3	4
0	11	4	4	5	0
0	13	3	3	5	0
6	8	2	4	4	0
0	15	2	3	4	0
4	7	7	0	3	3
7	5	6	4	2	0
18	0	0	0	6	0
15	0	9	0	0	0
5	0	0	8	5	5
2	0	4	5	6	6
0	2	5	4	2	10
2	3	2	6	5	5
0	3	4	14	2	0
0	3	5	3	8	4
2	2	4	3	5	7
5	0	3	7	0	8
5	0	3	5	5	5
0	8	0	6	7	2
0	5	4	3	5	6
0	5	5	0	10	3
4	3	3	0	3	10
0	5	5	3	6	4
0	4	6	6	3	4
4	4	2	4	4	5
5	5	0	9	4	0
0	4	7	0	3	9
2	4	5	4	3	5
3	4	4	3	4	5
3	3	5	4	4	4
2	4	5	5	4	3
4	5	3	2	4	5
3	2	7	6	0	5
3	4	5	4	3	4
5	3	4	4	4	3
5	4	3	5	4	2
4	0	10	6	0	3
6	2	7	0	3	5
0	8	10	0	2	3
10	2	8	3	0	0
2	3	0	10	3	4
3	0	3	0	5	11
3	2	3	3	4	7
4	0	4	7	3	4
6	0	2	5	5	4
5	3	0	5	5	4
0	5	4	2	7	4
2	3	4	3	5	5
0	9	0	0	13	0
0	4	5	6	4	3
0	7	2	6	2	5
0	10	0	0	9	3
2	4	4	3	4	5
4	3	3	3	5	4
0	4	7	3	4	4
0	6	5	5	3	3
2	4	5	5	3	3
2	5	4	5	4	2
3	4	4	5	3	3
4	4	3	4	4	3
4	4	3	5	4	2
11	0	0	0	11	0
0	6	6	0	5	5
0	6	6	2	2	6
5	5	2	3	4	3
0	8	5	0	5	4
5	3	5	3	2	4
5	2	6	5	0	4
5	5	3	4	2	3
6	5	3	5	3	0
5	4	6	4	0	3
4	7	4	3	2	2
4	7	4	4	3	0
5	6	4	3	4	0
12	3	0	7	0	0
0	14	2	0	6	0
5	5	6	0	4	2
0	4	13	0	2	3
4	7	6	0	5	0
10	7	0	0	5	0
2	0	0	5	6	8
2	0	2	6	5	6
0	3	4	5	5	4
0	0	9	0	5	7
0	4	5	0	4	8
0	6	3	2	5	5
0	5	4	3	6	3
3	2	4	4	4	4
6	0	3	3	4	5
5	4	0	4	4	4
2	0	8	3	0	8
0	3	7	4	3	4
2	4	4	3	4	4
4	2	4	4	3	4
0	3	8	0	6	4
0	6	5	4	0	6
3	3	5	3	2	5
3	5	3	2	3	5
4	2	5	2	4	4
6	2	3	2	3	5
5	2	4	4	2	4
4	5	2	4	6	0
0	7	5	0	6	3
4	3	5	0	3	6
0	7	5	2	4	3
3	5	4	3	3	3
6	3	3	3	4	2
5	2	5	6	3	0
5	5	3	2	4	2
6	3	4	3	3	2
4	5	4	5	3	0
7	6	0	2	3	3
7	0	6	6	0	2
7	3	4	2	2	3
11	2	8	0	0	0
0	0	2	6	5	7
6	0	0	6	4	4
3	0	4	4	3	6
3	2	2	5	2	6
3	4	0	2	9	2
3	2	3	3	2	7
2	3	3	3	4	5
2	4	2	2	6	4
0	8	0	0	12	0
2	3	3	4	3	5
2	3	3	4	3	5
3	3	2	3	4	5
5	0	3	4	4	4
4	4	0	3	5	4
4	2	2	5	3	4
0	4	5	2	3	6
0	3	7	0	4	6
4	3	3	4	3	3
3	3	5	2	2	5
2	4	5	3	2	4
3	5	3	6	3	0
3	5	4	0	4	4
3	4	5	0	5	3
0	7	5	4	0	4
0	6	6	3	5	0
5	4	3	0	3	5
4	4	4	4	2	2
2	8	3	2	2	3
5	5	4	2	4	0
6	5	4	0	5	0
6	3	7	0	4	0
10	4	3	3	0	0
20	0	0	0	0	0
11	0	9	0	0	0
0	12	8	0	0	0
2	0	0	5	7	5
0	0	5	0	2	12
3	0	2	5	4	5
4	0	2	5	5	3
0	3	4	3	4	5
0	4	3	3	5	4
0	3	4	4	4	4
7	0	0	4	0	8
0	5	3	2	2	7
0	3	5	4	5	2
0	3	5	5	4	2
2	4	2	3	4	4
3	3	2	3	4	4
2	3	3	4	4	3
5	3	0	2	2	7
4	4	0	4	4	3
0	2	7	0	3	7
0	4	5	0	3	7
0	3	6	4	0	6
3	3	3	2	4	4
2	4	3	4	3	3
4	0	5	5	0	5
4	3	2	3	4	3
3	4	2	5	3	2
0	5	5	0	4	5
5	0	5	2	3	4
4	3	4	4	2	2
2	7	3	0	5	2
4	4	4	2	3	2
4	3	5	4	0	3
9	0	3	2	2	3
0	0	13	0	0	6
0	6	7	0	2	4
3	7	3	0	6	0
6	7	0	0	2	4
5	0	9	0	0	5
3	5	6	2	3	0
6	0	9	0	0	4
6	7	3	0	3	0
0	3	14	0	2	0
14	2	3	0	0	0
0	11	8	0	0	0
0	3	0	5	5	5
3	0	0	4	4	7
0	2	2	2	6	6
0	0	4	4	6	4
2	0	3	3	5	5
2	2	2	0	6	6
3	3	0	4	5	3
0	4	3	2	4	5
3	0	4	3	4	4
0	5	2	4	4	3
3	0	4	4	5	2
7	0	0	11	0	0
0	3	5	0	5	5
3	2	3	2	3	5
2	2	4	5	3	2
5	0	3	5	0	5
4	2	2	6	4	0
6	2	0	5	5	0
0	4	5	4	2	3
0	5	4	4	3	2
3	4	2	3	0	6
4	3	2	2	3	4
3	3	3	3	3	3
4	2	3	3	3	3
3	3	3	4	3	2
4	3	2	3	6	0
4	3	2	4	5	0
0	4	6	0	0	8
0	5	5	0	8	0
3	3	4	3	2	3
4	4	2	2	3	3
5	0	5	4	0	4
0	3	8	0	0	7
0	9	2	0	7	0
3	3	5	3	2	2
3	4	4	4	0	3
4	4	3	3	2	2
6	3	2	2	3	2
0	6	6	0	3	3
4	5	3	0	3	3
4	0	8	4	2	0
0	2	11	3	2	0
5	3	5	2	0	3
7	5	2	4	0	0
5	13	0	0	0	0
7	2	9	0	0	0
2	3	0	5	3	4
0	0	6	0	5	6
0	4	2	0	9	2
4	0	2	2	2	7
0	4	2	4	3	4
3	3	0	4	3	4
4	2	0	4	2	5
3	0	3	7	0	4
4	2	0	6	2	3
3	3	0	6	5	0
0	2	5	2	3	5
0	4	3	5	3	2
3	4	0	2	4	4
5	0	2	4	3	3
5	2	0	4	2	4
3	4	0	5	3	2
7	0	0	4	3	3
2	0	6	2	2	5
2	2	4	3	2	4
2	2	4	3	2	4
3	2	3	5	0	4
3	2	3	4	5	0
5	0	3	4	3	2
8	0	0	3	4	2
0	0	9	0	2	6
3	2	4	0	5	3
0	5	4	3	3	2
3	6	0	0	6	2
3	4	2	2	4	2
4	2	3	3	3	2
4	3	2	4	2	2
5	2	3	0	2	5
2	5	3	2	2	3
0	10	0	0	7	0
3	3	4	2	3	2
4	2	4	2	2	3
4	3	3	3	2	2
8	0	2	4	0	3
0	4	7	0	0	6
5	2	4	0	4	2
5	2	4	2	0	4
3	4	4	2	4	0
5	3	3	2	4	0
8	0	3	3	0	3
4	3	5	5	0	0
8	0	4	5	0	0
0	8	6	3	0	0
17	0	0	0	0	0
0	0	3	4	2	7
0	0	3	5	3	5
0	0	4	3	3	6
0	2	2	2	5	5
0	2	2	2	6	4
0	2	2	3	4	5
0	5	0	0	7	4
2	3	0	2	7	2
0	0	6	2	0	8
0	3	3	2	3	5
0	6	0	0	7	3
0	3	3	3	3	4
2	2	2	4	2	4
2	2	2	4	2	4
0	2	4	7	0	3
2	4	0	4	3	3
4	2	0	6	4	0
0	3	4	0	2	7
0	3	4	0	4	5
0	0	7	3	0	6
0	7	0	2	7	0
0	4	4	4	0	4
4	0	4	0	4	4
3	2	3	3	3	2
6	0	2	2	2	4
0	4	5	0	3	4
0	5	4	0	4	3
4	0	5	0	0	7
4	2	3	3	2	2
7	0	2	2	2	3
0	5	5	0	0	6
2	3	5	0	0	6
0	7	3	0	4	2
0	7	3	0	6	0
3	2	5	3	0	3
3	3	4	2	2	2
4	3	3	3	0	3
0	0	11	0	0	5
3	3	5	3	0	2
8	4	0	2	2	0
3	7	4	2	0	0
6	8	0	0	2	0
0	0	16	0	0	0
0	0	0	4	4	7
0	0	0	11	4	0
2	0	0	6	4	3
0	0	3	3	4	5
0	3	0	4	4	4
3	0	0	4	3	5
3	0	0	7	5	0
0	2	2	0	4	7
0	4	0	0	4	7
0	2	2	4	3	4
4	0	0	4	0	7
2	2	0	5	2	4
0	0	5	0	4	6
0	2	3	0	3	7
0	3	2	2	5	3
2	0	3	3	3	4
2	3	0	2	3	5
3	2	0	3	4	3
2	3	0	5	2	3
0	3	3	0	5	4
2	4	0	2	3	4
2	4	0	2	3	4
2	0	5	0	0	8
0	3	4	4	0	4
2	5	0	3	2	3
2	3	3	0	3	4
3	3	2	2	3	2
3	2	3	3	2	2
3	3	2	3	2	2
5	0	3	3	2	2
3	5	0	4	0	3
6	0	2	4	0	3
5	3	0	3	4	0
4	5	0	0	4	2
3	4	2	4	2	0
5	2	2	4	2	0
2	4	4	0	0	5
4	3	3	5	0	0
5	5	0	2	3	0
0	0	11	0	0	4
5	4	2	0	4	0
0	9	3	0	3	0
5	5	2	0	3	0
6	3	3	3	0	0
0	0	0	5	6	3
3	0	0	3	4	4
0	3	0	7	0	4
3	0	0	6	3	2
0	2	2	0	4	6
0	4	0	0	4	6
2	0	2	2	2	6
2	0	2	2	3	5
4	0	0	0	6	4
0	4	0	5	5	0
0	0	5	0	0	9
0	0	5	2	0	7
0	3	2	2	2	5
0	2	3	2	3	4
0	0	5	4	2	3
2	0	3	2	2	5
0	2	3	4	2	3
0	5	0	2	5	2
3	2	0	0	6	3
0	2	3	6	3	0
5	0	0	3	3	3
2	2	2	2	3	3
4	0	2	2	2	4
2	4	0	3	3	2
4	2	0	4	2	2
0	4	3	2	0	5
2	2	3	2	2	3
0	5	2	3	4	0
2	0	5	5	0	2
3	2	2	2	3	2
3	2	2	3	2	2
2	3	3	0	3	3
2	3	3	2	2	2
3	2	3	2	2	2
5	0	3	2	0	4
3	3	2	3	0	3
5	3	0	0	3	3
3	5	0	4	0	2
4	2	2	3	3	0
0	5	4	0	2	3
4	0	5	0	0	5
0	3	6	2	3	0
0	3	6	5	0	0
3	4	2	3	0	2
3	2	5	0	0	4
2	2	6	0	4	0
0	7	3	0	4	0
4	2	4	0	0	4
3	7	0	2	2	0
0	4	7	0	0	3
2	6	3	0	0	3
8	0	3	0	0	3
5	3	4	2	0	0
12	0	0	0	0	2
10	0	4	0	0	0
0	0	0	4	6	3
2	0	0	6	2	3
0	3	0	4	2	4
4	0	0	3	2	4
0	0	5	0	4	4
0	3	2	0	3	5
0	3	2	0	4	4
0	0	5	3	2	3
0	3	3	0	5	2
0	4	2	2	2	3
0	0	6	5	0	2
0	0	6	4	3	0
2	2	2	2	2	3
0	3	3	3	4	0
0	4	2	4	3	0
3	0	3	4	0	3
3	0	3	4	3	0
0	0	7	0	0	6
2	2	3	0	0	6
3	0	4	2	2	2
2	3	2	2	2	2
4	3	0	0	4	2
3	4	0	2	2	2
3	2	2	3	3	0
5	2	0	4	2	0
5	3	0	5	0	0
4	2	3	2	0	2
0	4	6	0	0	3
0	2	8	3	0	0
5	2	3	0	3	0
8	2	0	0	3	0
3	4	4	2	0	0
0	0	2	3	2	5
0	0	2	3	3	4
2	0	0	2	3	5
0	0	3	0	3	6
0	0	3	0	3	6
0	0	3	2	0	7
0	0	3	5	0	4
0	3	0	4	3	2
3	0	0	4	0	5
3	0	0	6	3	0
0	4	0	0	4	4
0	4	0	0	6	2
0	4	0	0	8	0
0	4	0	2	6	0
2	2	0	3	3	2
4	0	0	3	5	0
0	0	5	0	0	7
0	3	2	0	3	4
2	0	3	2	2	3
2	0	3	2	3	2
0	4	2	0	2	4
0	3	3	0	4	2
0	4	2	0	3	3
3	0	3	0	0	6
2	2	2	0	2	4
2	2	2	2	2	2
2	2	2	2	2	2
2	2	2	3	0	3
0	4	2	3	3	0
0	6	0	2	4	0
2	4	0	2	2	2
4	2	0	4	0	2
0	3	4	0	3	2
2	0	5	2	0	3
4	0	3	0	2	3
2	5	0	0	2	3
0	7	0	0	5	0
0	7	0	0	5	0
3	0	4	0	5	0
2	3	2	2	0	3
3	0	4	3	0	2
2	2	3	3	2	0
0	7	0	3	2	0
3	2	2	3	0	2
3	2	2	2	3	0
4	0	3	2	3	0
0	0	8	0	0	4
2	3	3	2	0	2
3	2	3	0	4	0
6	0	2	0	0	4
2	4	2	2	2	0
5	3	0	0	4	0
5	3	0	0	4	0
6	2	0	2	0	2
0	10	0	0	2	0
12	0	0	0	0	0
4	2	6	0	0	0
0	0	0	0	0	11
0	2	0	0	5	4
0	0	2	2	3	4
0	0	2	3	3	3
0	0	2	3	3	3
2	0	0	4	2	3
0	0	3	0	4	4
0	3	0	0	5	3
0	3	0	2	4	2
3	0	0	2	3	3
0	0	4	0	0	7
0	0	4	2	0	5
0	2	2	0	5	2
0	2	2	2	3	2
0	4	0	0	7	0
2	0	2	2	2	3
0	4	0	2	3	2
0	4	0	2	3	2
0	4	0	3	4	0
2	2	0	4	0	3
0	0	5	0	0	6
0	0	5	0	0	6
0	2	3	0	4	2
2	0	3	0	2	4
0	2	3	2	2	2
2	3	0	3	3	0
0	0	6	0	0	5
0	0	6	0	0	5
0	6	0	0	3	2
0	3	3	3	0	2
0	3	3	3	2	0
4	0	2	0	3	2
2	4	0	2	3	0
3	3	0	2	3	0
6	0	0	2	0	3
3	3	0	5	0	0
6	0	0	5	0	0
0	2	5	2	2	0
2	2	3	0	4	0
2	3	2	2	2	0
3	4	0	2	2	0
0	2	6	0	0	3
0	5	6	0	0	0
0	3	8	0	0	0
0	0	0	0	4	6
0	0	0	0	6	4
0	0	0	2	5	3
0	0	0	3	4	3
0	0	0	10	0	0
0	0	2	0	2	6
0	0	2	0	2	6
2	0	0	0	3	5
0	0	3	2	3	2
0	3	0	2	3	2
0	0	3	5	2	0
3	0	0	3	0	4
3	0	0	4	0	3
3	0	0	4	3	0
2	0	2	0	3	3
0	2	2	2	2	2
0	2	2	3	0	3
0	2	2	3	0	3
2	2	0	0	4	2
0	4	0	2	2	2
4	0	0	0	2	4
2	2	0	2	2	2
0	2	2	4	2	0
0	3	2	0	2	3
0	2	3	0	3	2
0	5	0	0	5	0
0	5	0	0	5	0
5	0	0	0	0	5
0	3	2	3	2	0
3	0	2	3	0	2
2	3	0	3	0	2
0	3	2	5	0	0
0	3	2	5	0	0
0	0	6	0	0	4
0	2	4	0	0	4
2	0	4	0	0	4
0	3	3	0	4	0
0	3	3	2	0	2
0	3	3	2	0	2
0	4	2	0	4	0
0	3	3	2	2	0
3	3	0	0	2	2
0	3	3	4	0	0
0	6	0	2	2	0
4	2	0	0	2	2
3	3	0	0	4	0
2	2	2	4	0	0
2	2	2	4	0	0
3	3	0	4	0	0
0	3	4	0	3	0
3	0	4	0	0	3
3	2	2	0	0	3
2	3	2	0	3	0
4	3	0	0	0	3
3	4	0	0	3	0
3	2	2	3	0	0
5	2	0	0	3	0
0	0	8	0	2	0
0	0	8	2	0	0
0	6	2	0	0	2
0	8	0	0	2	0
3	3	2	0	2	0
3	2	3	2	0	0
3	2	3	2	0	0
10	0	0	0	0	0
8	0	2	0	0	0
5	2	3	0	0	0
5	0	5	0	0	0
0	10	0	0	0	0
0	0	0	0	0	9
0	0	0	0	4	5
0	0	0	2	4	3
0	0	0	3	3	3
0	0	0	5	0	4
0	2	0	0	4	3
0	2	0	0	4	3
0	0	2	2	2	3
0	2	0	2	2	3
0	0	2	3	2	2
0	0	2	7	0	0
0	0	3	0	3	3
0	0	3	0	3	3
0	3	0	0	3	3
0	3	0	0	4	2
0	0	3	3	0	3
0	0	3	3	0	3
0	0	3	3	0	3
0	0	3	2	4	0
0	3	0	3	0	3
3	0	0	0	4	2
0	0	3	4	2	0
0	3	0	2	4	0
3	0	0	2	2	2
3	0	0	3	3	0
3	0	0	4	2	0
0	2	2	2	0	3
2	0	2	0	2	3
0	2	2	0	5	0
0	4	0	0	3	2
0	4	0	0	5	0
0	4	0	0	5	0
0	4	0	0	5	0
2	0	2	2	0	3
2	0	2	2	0	3
2	0	2	2	0	3
0	2	2	2	3	0
0	2	2	2	3	0
0	2	2	3	2	0
2	2	0	0	5	0
4	0	0	0	3	2
2	0	2	2	3	0
2	2	0	2	3	0
0	4	0	5	0	0
2	2	0	3	2	0
4	0	0	3	0	2
0	0	5	0	0	4
0	2	3	0	2	2
3	2	0	0	0	4
2	0	3	2	0	2
0	5	0	2	0	2
0	2	3	4	0	0
3	0	2	2	0	2
0	2	4	0	0	3
3	0	3	0	0	3
2	2	2	0	3	0
0	3	3	3	0	0
0	6	0	3	0	0
6	0	0	0	0	3
3	0	3	3	0	0
4	2	0	3	0	0
0	0	7	2	0	0
2	3	2	0	0	2
2	0	5	2	0	0
3	2	2	2	0	0
5	2	0	0	2	0
5	0	2	2	0	0
9	0	0	0	0	0
9	0	0	0	0	0
4	3	2	0	0	0
0	5	4	0	0	0
0	4	5	0	0	0
0	0	9	0	0	0
0	0	0	0	4	4
0	0	0	0	8	0
0	0	0	3	3	2
0	0	0	3	5	0
0	0	0	6	0	2
0	0	0	8	0	0
0	0	2	0	0	6
0	0	2	0	0	6
0	0	2	0	0	6
0	0	2	0	0	6
0	0	2	0	3	3
0	0	2	0	4	2
0	2	0	0	2	4
0	0	2	2	2	2
0	0	2	3	0	3
0	2	0	3	0	3
0	2	0	2	4	0
2	0	0	2	2	2
0	2	0	3	3	0
0	2	0	6	0	0
0	0	3	0	0	5
0	0	3	0	0	5
0	3	0	0	0	5
0	3	0	0	0	5
0	0	3	2	0	3
0	0	3	2	0	3
0	3	0	0	2	3
3	0	0	0	0	5
0	0	3	2	3	0
3	0	0	0	2	3
0	3	0	2	3	0
3	0	0	0	5	0
0	0	4	0	0	4
0	0	4	0	0	4
0	0	4	0	0	4
0	0	4	0	0	4
0	2	2	0	2	2
2	0	2	0	0	4
0	0	4	2	0	2
2	0	2	0	2	2
0	2	2	2	0	2
0	4	0	0	4	0
0	4	0	0	4	0
2	2	0	0	2	2
0	2	2	2	2	0
4	0	0	0	0	4
2	0	2	2	0	2
2	0	2	2	0	2
2	2	0	2	0	2
4	0	0	0	2	2
4	0	0	0	4	0
4	0	0	0	4	0
4	0	0	2	2	0
0	0	5	0	0	3
0	0	5	0	0	3
0	2	3	0	0	3
2	0	3	0	0	3
0	5	0	0	0	3
0	2	3	0	3	0
0	3	2	0	3	0
0	5	0	0	3	0
3	2	0	0	0	3
5	0	0	0	0	3
0	5	0	3	0	0
3	2	0	0	3	0
3	2	0	3	0	0
0	0	6	0	0	2
0	4	2	0	2	0
3	0	3	0	0	2
0	3	3	2	0	0
4	0	2	0	0	2
3	3	0	0	0	2
2	4	0	0	2	0
4	2	0	0	2	0
8	0	0	0	0	0
5	3	0	0	0	0
6	0	2	0	0	0
4	4	0	0	0	0
4	0	4	0	0	0
0	3	5	0	0	0
0	3	5	0	0	0
0	0	0	0	4	3
0	0	0	2	0	5
0	0	0	2	2	3
0	0	0	2	2	3
0	0	0	2	2	3
0	0	0	2	3	2
0	0	0	4	0	3
0	0	0	5	0	2
0	0	0	4	3	0
0	0	0	7	0	0
0	0	0	7	0	0
0	0	2	0	2	3
0	0	2	0	2	3
0	2	0	0	2	3
0	2	0	0	2	3
0	0	2	2	0	3
0	0	2	2	0	3
0	2	0	0	3	2
0	2	0	2	0	3
0	0	2	3	0	2
2	0	0	0	3	2
2	0	0	2	0	3
0	2	0	2	3	0
0	2	0	2	3	0
2	0	0	3	0	2
2	0	0	2	3	0
2	0	0	3	2	0
2	0	0	3	2	0
0	0	3	0	0	4
0	0	3	0	2	2
0	0	3	0	2	2
0	3	0	0	0	4
0	0	3	2	0	2
0	0	3	2	0	2
0	3	0	0	4	0
0	3	0	2	2	0
3	0	0	0	4	0
3	0	0	4	0	0
0	0	4	0	0	3
0	0	4	0	0	3
0	0	4	0	0	3
0	0	4	0	0	3
0	0	4	0	0	3
0	2	2	0	0	3
0	4	0	0	3	0
0	4	0	0	3	0
0	0	4	3	0	0
0	2	2	3	0	0
0	4	0	3	0	0
2	0	2	3	0	0
2	2	0	3	0	0
4	0	0	3	0	0
4	0	0	3	0	0
0	0	5	0	0	2
0	0	5	0	0	2
0	2	3	0	0	2
0	3	2	0	0	2
0	0	5	2	0	0
0	5	0	0	0	2
0	2	3	2	0	0
0	5	0	0	2	0
0	5	0	0	2	0
2	3	0	0	2	0
3	2	0	0	2	0
5	0	0	0	0	2
5	0	0	2	0	0
7	0	0	0	0	0
7	0	0	0	0	0
7	0	0	0	0	0
7	0	0	0	0	0
7	0	0	0	0	0
5	2	0	0	0	0
3	4	0	0	0	0
4	0	3	0	0	0
0	7	0	0	0	0
0	7	0	0	0	0
0	5	2	0	0	0
0	3	4	0	0	0
0	3	4	0	0	0
0	0	7	0	0	0
0	0	7	0	0	0
0	0	7	0	0	0
0	0	7	0	0	0
0	0	0	0	0	6
0	0	0	0	2	4
0	0	0	0	2	4
0	0	0	0	2	4
0	0	0	2	2	2
0	0	0	2	2	2
0	0	0	2	2	2
0	0	0	3	0	3
0	0	0	3	0	3
0	0	0	2	4	0
0	0	0	2	4	0
0	0	0	3	3	0
0	0	0	3	3	0
0	0	0	6	0	0
0	0	0	6	0	0
0	0	2	0	0	4
0	0	2	0	2	2
0	0	2	0	2	2
0	2	0	0	2	2
0	2	0	0	2	2
0	2	0	0	2	2
0	2	0	0	2	2
0	0	2	2	0	2
0	2	0	0	4	0
0	2	0	0	4	0
0	0	2	2	2	0
0	2	0	2	0	2
2	0	0	0	2	2
0	0	2	2	2	0
0	0	2	2	2	0
0	2	0	2	2	0
0	2	0	2	2	0
0	2	0	2	2	0
0	0	2	4	0	0
2	0	0	2	0	2
2	0	0	2	0	2
0	0	2	4	0	0
0	2	0	4	0	0
2	0	0	2	2	0
2	0	0	2	2	0
2	0	0	2	2	0
0	2	0	4	0	0
2	0	0	4	0	0
0	0	3	0	0	3
0	0	3	0	0	3
0	0	3	0	0	3
0	0	3	0	0	3
0	0	3	0	3	0
0	3	0	0	0	3
0	0	3	0	3	0
0	0	3	0	3	0
0	3	0	0	3	0
0	3	0	0	3	0
3	0	0	0	0	3
3	0	0	3	0	0
0	0	4	0	0	2
0	0	4	0	0	2
0	0	4	0	0	2
0	2	2	0	0	2
0	2	2	0	0	2
0	2	2	0	0	2
0	2	2	0	0	2
0	4	0	0	0	2
0	2	2	0	2	0
0	2	2	0	2	0
0	4	0	0	0	2
0	2	2	0	2	0
0	4	0	0	0	2
0	2	2	0	2	0
0	2	2	0	2	0
0	2	2	0	2	0
0	0	4	2	0	0
2	0	2	0	0	2
2	0	2	0	0	2
0	4	0	0	2	0
0	2	2	2	0	0
2	0	2	0	2	0
2	0	2	0	2	0
2	0	2	2	0	0
2	0	2	2	0	0
2	0	2	2	0	0
2	0	2	2	0	0
2	0	2	2	0	0
2	2	0	2	0	0
2	2	0	2	0	0
2	2	0	2	0	0
2	2	0	2	0	0
2	2	0	2	0	0
4	0	0	2	0	0
6	0	0	0	0	0
6	0	0	0	0	0
6	0	0	0	0	0
6	0	0	0	0	0
6	0	0	0	0	0
6	0	0	0	0	0
4	2	0	0	0	0
4	2	0	0	0	0
2	4	0	0	0	0
2	4	0	0	0	0
3	0	3	0	0	0
3	0	3	0	0	0
0	6	0	0	0	0
0	4	2	0	0	0
0	3	3	0	0	0
0	3	3	0	0	0
0	2	4	0	0	0
0	0	6	0	0	0
0	0	6	0	0	0
0	0	6	0	0	0
0	0	0	0	0	5
0	0	0	0	0	5
0	0	0	0	2	3
0	0	0	0	3	2
0	0	0	2	0	3
0	0	0	2	0	3
0	0	0	0	5	0
0	0	0	0	5	0
0	0	0	3	0	2
0	0	0	3	0	2
0	0	0	2	3	0
0	0	0	2	3	0
0	0	0	3	2	0
0	0	0	3	2	0
0	0	0	3	2	0
0	0	2	0	0	3
0	0	2	0	0	3
0	0	2	0	0	3
0	0	2	0	0	3
0	0	2	0	0	3
0	0	2	0	0	3
0	0	2	0	0	3
0	2	0	0	0	3
0	2	0	0	0	3
0	2	0	0	0	3
0	2	0	0	0	3
0	0	2	0	3	0
0	0	2	0	3	0
2	0	0	0	0	3
2	0	0	0	0	3
2	0	0	0	0	3
2	0	0	0	0	3
2	0	0	0	0	3
0	2	0	0	3	0
0	2	0	0	3	0
0	2	0	0	3	0
0	2	0	0	3	0
0	2	0	0	3	0
0	2	0	0	3	0
0	0	2	3	0	0
0	2	0	3	0	0
0	2	0	3	0	0
2	0	0	3	0	0
2	0	0	3	0	0
0	0	3	0	0	2
0	0	3	0	0	2
0	0	3	0	0	2
0	0	3	0	0	2
0	0	3	0	0	2
0	0	3	0	0	2
0	0	3	0	0	2
0	0	3	0	0	2
0	0	3	0	0	2
0	0	3	0	0	2
0	0	3	0	2	0
