pre.1	pre.2	pre.3	post.1	post.2	post.3
22	3	22	43	20	24
19	24	21	21	23	26
16	31	17	26	27	17
21	18	28	24	21	22
29	21	13	21	19	30
18	32	14	18	35	16
21	29	19	19	28	17
12	40	19	12	42	8
19	20	22	30	22	19
47	6	13	29	15	22
18	12	15	26	28	32
23	15	17	31	25	20
13	31	19	13	30	25
22	20	22	21	23	23
22	23	21	19	26	20
27	21	24	21	17	20
25	31	10	20	29	14
23	17	12	30	28	18
31	20	17	20	21	19
22	18	18	25	22	22
19	0	44	21	4	39
20	28	18	20	24	17
31	22	18	19	18	19
21	19	16	18	27	25
27	19	14	20	23	23
19	28	21	18	17	23
26	32	16	18	23	11
26	28	22	17	19	14
22	16	38	21	14	13
26	11	16	23	21	26
25	17	13	15	22	31
8	15	14	17	46	22
19	22	17	22	23	19
25	18	18	26	19	16
23	19	27	11	21	21
25	18	16	20	23	19
11	33	19	21	23	14
27	12	11	35	18	17
16	19	20	17	29	19
24	13	18	31	18	16
6	31	24	11	21	27
21	20	21	17	21	20
14	27	19	18	21	20
19	25	22	18	22	13
11	16	28	14	26	23
19	16	22	22	18	21
17	23	21	17	21	19
12	36	15	15	28	12
7	18	14	18	43	17
19	13	17	17	21	30
23	16	17	21	20	20
19	18	26	13	18	23
21	26	20	19	18	13
8	13	40	14	15	26
19	30	16	18	26	7
25	18	24	18	8	23
20	16	21	15	19	24
30	26	10	28	16	5
9	17	22	18	15	33
13	20	19	17	21	24
19	20	15	23	21	16
20	18	21	18	19	18
18	17	29	12	16	22
30	8	26	6	24	20
20	15	19	22	18	19
12	27	23	21	17	13
14	30	27	8	21	13
16	25	14	15	29	13
17	17	23	21	18	16
15	27	22	19	20	9
18	16	12	21	23	21
16	17	15	26	20	17
18	20	19	20	19	15
10	21	33	13	13	21
23	8	15	17	17	30
17	24	17	15	24	13
17	16	27	21	18	11
0	15	28	15	24	27
13	20	16	25	19	16
23	9	19	19	17	22
30	16	10	26	17	10
9	15	14	24	22	23
20	15	15	21	16	20
16	10	25	13	17	26
12	16	18	21	14	25
23	18	17	15	17	16
28	12	22	10	27	7
0	14	52	0	19	21
23	14	14	17	20	17
16	10	26	20	15	18
20	18	22	16	19	10
0	57	8	9	26	4
10	25	11	25	21	11
17	13	18	17	19	19
17	21	11	21	15	18
21	16	12	18	18	18
19	22	8	19	22	12
22	8	20	21	13	18
21	13	18	17	17	16
16	22	16	12	20	16
23	15	17	17	13	17
33	38	3	6	18	4
16	14	18	15	20	18
15	16	19	18	16	17
21	14	18	21	13	14
15	23	17	19	19	8
22	15	19	16	15	14
17	14	7	32	17	13
15	15	15	16	20	19
12	19	16	25	13	15
19	15	16	21	14	15
16	21	16	18	18	11
11	21	25	11	13	19
8	37	14	9	25	7
12	21	12	15	20	19
19	16	11	19	19	15
20	18	11	17	20	13
10	20	21	14	19	15
86	2	8	0	3	0
0	3	0	0	95	0
26	3	9	23	12	25
19	17	13	21	16	12
6	22	22	8	22	18
3	16	22	19	18	19
15	17	9	21	19	16
7	17	21	16	16	20
19	16	12	18	16	16
19	15	15	16	13	19
25	14	11	16	15	16
11	21	19	18	18	10
23	15	13	15	16	15
9	20	23	13	17	15
0	34	20	6	16	21
12	21	22	16	12	14
7	24	8	17	26	14
20	13	12	14	19	18
17	17	15	18	14	15
15	13	12	22	20	13
17	17	14	16	14	17
12	14	23	18	14	14
12	23	20	14	14	12
29	26	13	20	7	0
10	5	22	13	17	27
17	11	11	15	24	16
15	12	15	17	16	19
27	16	13	18	12	8
6	18	14	23	20	12
14	12	16	12	15	24
17	12	16	14	16	18
13	16	12	14	17	20
11	14	20	13	17	17
14	16	16	18	10	18
21	22	11	4	28	6
12	12	7	20	16	24
9	15	15	15	16	21
5	14	20	22	13	17
17	19	9	17	16	13
16	15	12	20	11	16
2	33	9	6	37	3
3	33	9	8	32	5
12	14	20	16	15	13
18	17	12	11	16	16
15	14	19	13	12	17
19	22	8	14	21	6
18	7	26	15	6	18
12	16	13	12	13	23
15	14	14	14	15	17
20	11	12	14	16	16
19	13	12	25	11	9
15	13	20	10	13	18
19	16	15	24	9	6
11	12	12	20	18	15
6	27	11	11	22	11
15	6	26	11	11	19
17	9	16	18	13	14
22	13	12	19	10	11
14	13	11	15	16	17
14	14	12	11	18	17
19	14	10	17	14	12
13	13	20	11	14	15
20	14	15	12	13	12
7	18	25	17	8	11
5	12	6	18	21	23
15	8	10	12	20	20
8	16	16	11	19	15
14	16	14	14	14	13
10	18	17	17	16	7
9	17	20	12	14	13
11	20	15	11	24	4
14	18	16	15	14	8
6	22	11	10	22	13
11	16	13	20	14	10
17	12	11	19	12	13
10	17	14	10	16	17
13	13	15	12	17	14
15	17	11	17	11	13
9	12	13	30	7	12
14	13	11	13	15	17
13	14	14	15	14	13
16	12	15	13	12	15
15	13	15	15	18	7
14	16	14	13	14	12
14	7	18	7	28	8
16	12	14	22	9	9
13	16	15	12	13	13
18	14	12	14	13	11
6	17	9	15	23	11
9	11	14	9	12	26
11	13	13	16	14	14
12	16	10	14	14	15
7	14	19	14	13	14
7	17	18	14	15	10
14	16	12	12	12	15
16	10	16	12	16	11
0	12	17	14	13	24
19	12	5	13	20	11
18	7	12	19	10	14
13	13	13	11	13	17
13	13	13	14	14	13
12	14	15	13	12	14
13	14	8	17	12	15
15	13	10	14	15	12
10	14	15	13	13	14
13	16	10	12	16	12
13	12	15	13	12	14
18	13	11	17	11	9
5	17	21	8	12	16
13	7	12	10	16	20
2	19	12	12	20	13
8	26	0	16	28	0
13	10	12	16	10	17
9	10	20	9	10	20
4	19	16	9	17	13
16	9	16	10	11	16
10	16	15	17	8	12
13	16	14	12	14	9
15	6	12	12	10	22
15	9	12	12	11	18
2	15	20	9	13	18
6	13	18	8	16	16
15	12	10	18	12	10
10	8	20	16	8	15
13	10	15	13	11	15
9	14	16	16	14	8
9	16	16	18	10	8
19	19	3	12	14	10
25	0	19	29	0	4
18	9	12	15	8	14
9	20	14	18	9	6
6	12	8	10	28	11
0	22	10	24	16	3
9	12	12	11	18	13
8	10	17	16	10	14
12	12	11	10	13	17
6	17	13	7	16	16
19	6	11	19	12	8
9	20	8	11	19	8
5	11	16	9	13	20
14	12	7	15	13	13
14	9	12	11	11	17
13	13	9	12	16	11
8	14	15	10	15	12
14	13	11	10	13	13
12	14	13	16	11	8
20	12	8	11	14	9
15	15	11	13	15	5
9	11	8	22	10	13
13	10	10	16	12	12
18	8	8	13	16	10
10	10	16	11	10	16
18	5	14	12	6	18
8	14	16	11	14	10
14	10	14	11	13	11
12	15	11	15	14	6
14	6	6	10	18	18
7	11	13	23	8	10
10	14	7	19	14	8
10	10	12	14	12	14
4	12	18	10	14	14
8	13	13	17	11	10
4	18	13	4	20	13
9	14	14	8	12	15
13	17	11	10	11	10
0	14	13	23	8	13
12	6	11	15	12	15
10	9	14	12	12	14
8	15	13	8	15	12
15	15	7	11	14	9
19	15	11	13	7	6
4	18	26	10	9	4
11	9	9	12	13	16
13	10	7	13	9	18
0	14	19	6	13	18
10	17	6	11	16	10
12	22	0	18	18	0
8	9	18	11	12	12
13	10	15	11	10	11
15	13	11	9	10	12
15	11	14	10	7	13
14	15	11	13	10	7
12	13	16	10	12	7
26	9	6	13	6	10
14	6	11	12	11	15
9	11	12	15	12	10
15	13	14	7	11	9
10	21	12	7	11	8
11	11	7	11	15	13
4	11	17	21	8	7
9	10	15	11	11	12
12	10	12	13	5	16
9	14	11	12	11	11
13	17	4	14	16	4
8	14	13	8	11	14
15	15	7	10	13	8
15	16	8	12	10	7
0	17	4	15	29	2
9	7	11	13	11	16
13	7	9	16	10	12
0	12	18	11	9	17
13	11	8	12	11	12
15	11	11	10	7	13
14	7	6	14	12	13
6	6	17	7	9	21
14	7	9	12	11	13
12	5	14	4	13	18
6	13	12	7	13	15
14	7	11	10	10	14
8	12	13	10	10	13
8	13	12	11	9	13
14	7	14	13	11	7
7	17	12	5	15	10
20	2	14	9	9	12
21	17	5	20	3	0
17	0	10	10	11	17
9	9	12	9	13	13
10	13	7	10	14	11
15	11	5	12	10	12
11	13	8	11	13	9
12	13	9	8	12	11
9	12	15	10	12	7
27	8	7	7	11	5
9	5	5	19	13	13
8	9	8	14	14	11
8	9	10	11	15	11
11	7	12	10	14	10
21	7	11	9	7	9
14	6	2	7	17	17
8	9	7	14	12	13
10	5	14	11	12	11
7	17	8	10	12	9
8	10	16	10	7	12
13	11	11	11	8	9
18	12	5	9	10	9
7	6	23	13	7	7
0	28	9	3	16	7
20	14	3	4	12	10
9	0	15	12	8	18
10	9	5	17	7	14
24	0	0	38	0	0
10	15	4	13	12	8
10	15	6	12	12	7
3	18	11	11	9	10
10	11	13	9	8	11
7	18	9	10	12	6
11	8	16	7	7	13
5	12	7	6	17	14
3	13	14	8	14	9
0	18	12	10	15	6
10	8	12	11	10	10
9	12	15	8	8	9
10	20	7	3	12	9
9	8	9	8	10	16
11	10	7	8	14	10
6	15	8	7	14	10
8	10	11	11	11	9
11	10	8	9	10	12
9	9	12	12	9	9
12	12	6	7	11	12
13	11	6	5	16	9
11	10	10	9	10	10
11	10	11	10	9	9
9	15	8	11	9	8
15	12	6	12	6	9
6	0	0	15	38	0
2	12	12	11	12	10
6	7	14	8	6	18
9	5	13	12	5	15
10	13	4	13	8	11
8	12	8	13	12	6
8	14	7	12	10	8
18	7	5	13	7	9
8	15	9	13	8	6
11	7	15	9	6	11
14	12	7	10	12	4
11	20	7	11	10	0
7	5	11	9	10	16
6	4	15	11	7	15
4	9	14	9	8	14
8	11	13	6	9	11
17	10	5	8	9	9
8	12	13	8	8	9
10	8	21	7	5	7
10	0	15	11	3	18
11	7	7	9	11	12
9	8	10	7	13	10
10	9	8	13	7	10
9	10	9	10	9	10
9	10	10	8	10	10
10	9	11	9	9	9
11	10	9	10	9	8
10	20	0	7	12	8
17	4	9	13	6	8
8	10	13	14	6	6
8	16	7	11	11	4
5	14	14	5	8	11
5	16	12	9	11	4
11	10	13	8	7	8
0	7	10	12	15	12
8	8	3	8	15	14
0	11	13	7	14	11
8	9	7	9	14	9
3	2	20	8	8	15
9	4	12	7	9	15
8	8	9	10	12	9
6	10	10	6	11	13
7	11	10	10	9	9
6	13	10	8	10	9
7	15	7	11	9	7
11	9	9	10	9	8
9	7	15	7	11	7
10	10	11	8	8	9
2	7	9	12	10	15
7	5	10	11	10	12
8	7	7	12	15	6
10	7	7	10	14	7
13	7	7	10	9	9
8	10	10	9	6	12
5	16	10	12	5	7
0	0	39	0	0	16
10	6	4	10	14	10
9	7	6	10	9	13
11	7	4	7	13	12
2	8	13	8	13	10
7	9	8	8	11	11
9	8	7	13	8	9
6	7	12	6	11	12
6	12	7	4	13	12
4	11	11	13	9	6
7	12	8	9	11	7
14	8	6	9	8	9
9	8	12	10	8	7
10	11	9	9	6	9
17	6	7	7	8	9
18	10	5	14	7	0
8	9	17	6	8	6
5	11	7	11	11	8
19	6	0	22	6	0
11	7	8	11	7	9
11	11	4	9	8	10
5	9	13	7	9	10
11	8	8	9	8	9
7	15	6	7	8	10
7	12	9	9	9	7
9	10	9	9	8	8
12	8	9	8	10	6
3	11	5	11	15	7
10	6	8	7	7	14
7	9	8	9	13	6
3	14	8	11	10	6
6	16	4	9	10	7
12	9	6	7	10	8
9	10	9	5	9	10
8	11	9	9	9	6
4	15	9	11	10	3
10	9	9	9	9	6
12	7	9	9	9	6
5	11	13	9	6	8
8	10	12	6	7	9
7	14	11	9	7	4
10	12	13	9	8	0
5	0	13	4	0	29
12	4	6	9	10	10
12	6	6	9	9	9
6	3	16	8	7	11
8	9	8	8	10	8
12	5	8	10	7	9
7	12	7	8	9	8
5	12	10	12	9	3
9	9	10	8	6	9
9	8	11	10	7	6
9	14	8	17	3	0
2	6	9	6	16	11
5	13	0	7	19	6
0	6	16	8	5	15
8	6	8	14	4	10
8	6	9	10	9	8
8	8	8	5	10	11
5	8	12	7	8	10
6	10	9	9	7	9
14	6	5	9	10	6
3	9	15	11	8	4
11	7	10	8	6	8
7	18	11	7	3	4
7	6	6	9	7	14
10	2	8	8	7	14
0	11	11	4	7	16
3	8	12	8	6	12
9	7	7	7	9	10
7	9	7	9	9	8
9	6	9	11	5	9
12	3	9	11	3	11
13	8	3	12	8	5
9	9	7	7	8	9
5	8	13	8	6	9
7	11	8	7	7	9
12	4	11	8	5	9
10	7	11	9	5	7
14	12	2	8	9	4
8	10	11	7	5	8
26	0	8	4	0	11
18	11	7	3	7	3
0	0	0	13	23	12
12	2	3	10	5	16
0	9	12	7	6	14
6	6	9	9	9	9
10	5	6	9	9	9
9	5	8	11	9	6
9	10	4	9	12	4
11	8	5	9	8	7
8	7	10	11	6	6
10	7	9	6	5	11
0	13	16	2	7	10
18	8	10	9	0	3
12	0	5	8	11	11
7	5	6	9	13	7
4	7	9	7	12	8
10	7	4	8	5	13
11	6	4	12	7	7
8	6	8	10	8	7
6	8	9	4	9	11
7	8	8	6	9	9
13	3	7	4	11	9
7	11	6	8	9	6
5	14	7	4	9	8
16	6	4	9	5	7
6	13	9	6	8	5
6	6	3	12	11	8
8	7	5	8	9	9
7	8	6	8	9	8
6	9	7	9	8	7
5	3	15	4	7	12
0	16	7	11	7	5
8	6	9	6	10	7
9	5	9	7	8	8
8	6	9	9	6	8
8	7	9	7	7	8
8	10	6	8	9	5
12	6	6	9	8	5
8	8	9	6	6	9
12	8	6	6	10	4
13	10	4	6	7	6
7	8	16	0	7	8
6	5	5	9	12	8
5	7	6	8	11	8
6	6	7	5	11	10
7	8	5	8	10	7
5	8	8	8	9	7
7	6	8	8	7	9
9	6	6	6	9	9
5	11	6	9	8	6
10	7	5	7	8	8
5	8	10	7	10	5
8	10	6	11	7	3
12	4	11	6	8	4
9	10	9	12	5	0
0	0	9	7	11	17
4	7	4	5	11	13
6	3	8	9	9	9
2	8	9	10	6	9
4	8	7	8	8	9
7	5	7	9	9	7
9	7	4	11	6	7
7	7	8	7	6	9
6	10	7	7	7	7
8	8	7	8	7	6
11	7	5	7	8	6
3	10	11	6	7	7
8	7	9	8	5	7
0	0	25	11	0	8
7	11	7	7	5	7
5	10	13	0	6	10
0	11	18	5	6	4
8	6	3	9	7	10
3	5	11	9	2	13
11	4	4	10	7	7
5	7	8	7	6	10
5	5	11	5	5	12
5	6	10	7	6	9
8	6	7	8	7	7
11	6	4	10	6	6
7	9	6	5	6	10
6	13	3	7	8	6
7	8	7	9	6	6
9	6	8	5	6	9
8	14	3	5	10	3
6	12	8	7	7	3
11	15	0	3	14	0
0	0	17	0	0	25
4	13	2	6	12	5
7	6	6	7	10	6
5	9	5	10	8	5
8	7	4	8	10	5
6	8	6	7	7	8
7	8	5	9	8	5
7	6	7	11	7	4
5	12	4	2	10	9
9	7	5	8	6	7
0	13	9	4	11	5
2	11	9	5	8	7
6	9	7	6	7	7
8	7	8	6	5	8
8	9	6	5	9	5
0	5	27	0	2	8
8	2	0	6	10	15
5	6	6	7	9	8
4	5	9	7	7	9
7	6	5	8	6	9
9	7	2	7	5	11
0	10	9	9	8	5
7	7	5	8	7	7
11	2	7	3	8	10
7	6	7	8	4	9
6	7	8	5	6	9
4	11	7	6	8	5
6	7	9	6	9	4
9	6	7	7	6	6
6	5	4	8	9	8
0	11	6	7	10	6
6	7	4	9	7	7
8	3	6	10	8	5
3	5	10	4	7	11
4	5	9	5	10	7
0	0	19	0	0	21
5	5	9	8	4	9
10	9	0	0	11	10
12	7	0	11	5	5
0	11	9	5	10	5
4	8	8	6	6	8
6	8	6	4	11	5
7	6	7	7	7	6
3	6	12	0	8	11
9	7	5	6	7	6
4	10	8	5	9	4
12	10	4	8	6	0
3	13	14	6	4	0
5	4	5	8	9	8
6	5	5	8	7	8
5	8	4	9	6	7
4	7	7	8	6	7
9	4	5	7	5	9
9	4	5	8	4	9
4	7	8	7	7	6
6	9	4	6	8	6
9	4	6	8	7	5
7	7	6	5	6	8
6	8	6	6	7	6
11	5	4	8	6	5
0	11	10	0	7	11
8	6	7	6	5	7
8	9	5	5	8	4
4	9	11	5	6	4
10	7	8	7	7	0
5	3	2	5	11	12
0	9	3	11	11	4
5	3	6	10	7	7
8	4	5	7	6	8
5	6	6	10	4	7
8	4	5	7	7	7
2	10	6	4	10	6
5	6	7	6	4	10
0	15	3	7	9	4
6	6	6	6	6	8
7	7	4	7	5	8
4	5	10	4	6	9
4	7	8	6	3	10
6	6	8	4	6	8
5	7	8	5	7	6
7	5	8	9	2	7
9	5	6	11	5	2
7	7	7	3	7	7
8	6	7	6	5	6
9	7	5	5	8	4
6	7	9	6	5	5
6	9	7	5	6	5
13	5	5	4	4	7
0	0	4	3	4	26
0	11	0	7	19	0
3	4	5	10	6	9
8	4	2	8	6	9
0	11	4	4	3	15
3	7	5	9	7	6
4	7	4	6	12	4
5	5	5	9	8	5
3	3	10	8	4	9
0	13	3	8	8	5
5	9	2	6	9	6
6	3	8	0	12	8
0	9	8	8	9	3
7	5	6	6	8	5
7	7	4	7	9	3
7	5	7	7	5	6
8	5	6	10	3	5
0	16	4	4	7	6
3	9	8	7	7	3
6	6	9	4	6	6
8	2	11	7	4	5
15	3	5	7	5	2
27	2	0	3	5	0
5	0	2	5	15	9
0	2	12	10	3	9
3	8	3	5	12	5
3	10	4	4	9	6
3	10	4	7	6	6
3	9	6	3	10	5
6	5	7	6	4	8
4	7	7	6	8	4
7	4	7	8	5	5
4	4	12	7	4	5
8	11	4	2	9	2
0	0	24	0	0	12
0	4	0	17	10	4
0	7	4	7	11	6
5	3	7	7	7	6
7	4	4	6	5	9
4	8	3	7	8	5
7	3	5	7	8	5
5	7	4	3	7	9
0	16	0	5	14	0
11	5	0	6	7	6
6	6	4	12	5	2
5	6	6	6	7	5
9	4	4	8	3	7
8	5	5	6	6	5
12	6	0	9	6	2
6	5	8	5	6	5
5	7	7	7	5	4
8	4	7	6	5	5
4	9	7	5	5	5
5	4	14	4	2	6
8	0	0	8	8	10
3	5	2	8	9	7
6	0	7	3	4	14
3	5	5	6	8	7
3	5	5	7	6	8
0	6	7	10	7	4
3	4	6	10	7	4
4	6	4	6	6	8
9	5	0	5	10	5
0	8	7	7	6	6
5	3	7	6	7	6
5	4	6	7	4	8
6	4	6	6	6	6
11	0	6	5	3	9
6	6	5	7	6	4
4	6	7	9	8	0
7	4	7	3	4	9
5	9	4	4	8	4
5	8	5	6	6	4
6	8	4	6	5	5
6	8	4	6	5	5
6	7	5	6	7	3
0	10	8	14	2	0
6	8	5	5	6	4
12	6	3	3	7	3
3	13	7	6	2	3
9	13	3	4	5	0
4	2	4	4	9	10
3	4	5	6	6	9
4	4	5	6	7	7
6	4	3	8	7	5
3	6	5	4	6	9
7	4	3	5	5	9
2	6	6	9	7	3
5	7	2	6	8	5
5	5	5	7	5	6
0	7	9	5	4	8
7	4	5	5	5	7
10	6	0	6	6	5
3	8	6	4	7	5
7	6	4	6	5	5
0	10	8	2	9	4
4	5	9	4	5	6
2	11	5	4	7	4
5	6	8	4	4	6
5	9	5	4	6	4
7	6	6	8	3	3
0	7	13	9	0	4
8	6	6	6	3	4
2	2	6	7	11	4
5	5	2	9	6	5
5	4	4	6	6	7
6	3	4	7	7	5
6	3	5	8	6	4
5	5	5	6	5	6
7	4	4	7	5	5
4	6	6	4	6	6
4	6	6	6	5	5
10	3	3	5	5	6
9	4	3	8	5	3
0	7	10	0	5	10
5	9	3	8	5	2
5	8	5	5	5	4
6	5	7	7	4	3
8	5	5	4	7	3
7	6	5	6	5	3
10	6	2	6	6	2
0	0	19	7	3	3
0	15	5	7	3	2
15	7	0	0	4	6
0	9	0	6	11	5
9	0	0	12	6	4
6	0	4	7	5	9
8	4	0	11	8	0
4	5	4	4	4	10
3	6	5	2	6	9
3	6	5	6	5	6
4	6	4	6	5	6
5	6	3	7	7	3
6	5	3	8	5	4
2	9	4	5	8	3
7	3	5	4	7	5
4	8	3	7	5	4
0	11	5	6	7	2
5	7	4	6	4	5
6	4	6	7	5	3
6	5	5	7	5	3
4	8	5	5	5	4
0	10	9	0	6	6
5	8	6	0	6	6
2	13	7	0	5	4
0	0	0	10	8	12
0	5	4	8	5	8
8	0	2	8	5	7
3	2	7	5	5	8
5	5	2	7	6	5
4	4	5	7	4	6
5	6	3	4	10	2
7	5	3	6	5	4
4	5	7	5	5	4
0	13	3	4	10	0
11	2	3	8	3	3
0	7	10	2	6	5
4	8	5	5	4	4
0	17	0	5	8	0
0	2	17	0	2	9
5	7	8	4	3	3
7	8	7	4	4	0
20	5	0	2	3	0
0	10	0	0	19	0
6	2	2	3	6	10
4	2	5	7	6	5
2	2	9	0	3	13
9	0	4	0	9	7
5	4	4	4	7	5
6	7	0	6	4	6
6	4	4	5	2	8
4	7	3	6	6	3
3	7	4	8	4	3
7	3	5	6	4	4
5	6	4	8	2	4
4	6	6	4	4	5
4	6	6	4	5	4
8	4	4	0	13	0
6	7	4	3	3	6
2	10	5	6	3	3
5	5	8	5	2	4
5	8	5	4	4	3
0	9	10	0	5	5
10	0	10	3	3	3
8	7	11	0	3	0
6	0	0	8	7	7
3	3	3	2	8	9
6	3	0	9	5	5
0	0	11	0	9	8
5	2	4	5	4	8
5	2	4	5	5	7
3	4	4	7	5	5
5	3	3	6	6	5
0	9	3	0	6	10
3	6	3	3	6	7
2	5	5	5	6	5
4	4	4	5	5	6
3	4	5	6	5	5
3	5	4	5	7	4
4	5	3	6	6	4
0	6	7	3	5	7
5	3	5	5	2	8
4	4	5	4	6	5
